Spanish dataset,,,,,,,English dataset,,,,,
#id,name_ES,Human Annotator 1,Human Annotator 2,Agreement_ES,comments,,#id,name_EN,Human Annotator 1,Human Annotator 2,Agreement_EN,comments
0,compania,Synonymous,Synonymous,Synonymous,,,0,companies,Synonymous,Synonymous,Synonymous,
1,consultora,Third party,Synonymous,Third party,no todas las empresas pueden ser consultora,,1,firm,Third party,Synonymous,Synonymous,hicimos eso en español
2,firma,Third party,Synonymous,Synonymous,todas las empresas pueden ser firmas,,2,companys,Synonymous,Synonymous,Synonymous,
3,organizacion,Synonymous,Synonymous,Synonymous,,,3,platform,"Data Collection, handling and/or storage",Synonymous,"Data Collection, handling and/or storage",
4,obtener,Action,Action,Action,,,4,firms,Third party,Synonymous,Synonymous,hicimos eso en español
5,relacion,Undetermined,Undetermined,Undetermined,,,5,organization,Synonymous,Synonymous,Synonymous,
6,investigador,Third party,Third party,Third party,,,6,data,Data & Information,Data & Information,Data & Information,
7,entregar,Action,Action,Action,,,7,entity,Third party,Synonymous,Third party,
8,trama,Reaction or attitude,Undetermined,Reaction or attitude,sería una reaccion de alguien,,8,giant,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,
9,financiar,Action,Action,Action,,,9,user,Users,Users,Users,
10,ltd,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,,,10,facebook,Companies and Organizations,Companies and Organizations,Companies and Organizations,
11,manera,Reaction or attitude,"Data Collection, handling and/or storage",Undetermined,se puede ver desde distintos puntos,,11,corporation,Synonymous,Synonymous,Synonymous,
12,facebook,Companies and Organizations,Companies and Organizations,Companies and Organizations,,,12,fb,Companies and Organizations,Companies and Organizations,Companies and Organizations,
13,ilegalmente,Privacy & security risks,Privacy & security risks,Privacy & security risks,,,13,organisation,Synonymous,Synonymous,Synonymous,
14,ello,Undetermined,Undetermined,Undetermined,,,14,business,Synonymous,Action,Synonymous,lo define google como empresa
15,empresas,Synonymous,Synonymous,Synonymous,,,15,users,Users,Users,Users,
16,ca,Companies and Organizations,Companies and Organizations,Companies and Organizations,,,16,businesses,Synonymous,Action,Synonymous,lo define el diccionario
17,propios,Undetermined,Undetermined,Undetermined,no se puede saber,,17,service,Undetermined,"Data Collection, handling and/or storage",Action,lo definimos x regla
18,marca,Undetermined,Synonymous,Undetermined,"puede tener varios significados, no necesariamente compañía",,18,ca,Companies and Organizations,Companies and Organizations,Companies and Organizations,
